Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
03-Jan-2011,-0.8934,0.172,0.746,0.082,226.0,227.0,221.5,223.32,646442
04-Jan-2011,-0.6996,0.133,0.806,0.06,223.32,229.5,223.32,227.97,1601540
05-Jan-2011,-0.9442,0.319,0.638,0.044,227.0,232.0,225.6,226.27,2181684
06-Jan-2011,-0.7906,0.179,0.726,0.094,227.0,227.65,224.2,226.16,1034935
07-Jan-2011,-0.5859,0.14,0.766,0.094,227.5,227.99,223.8,225.99,1247251
10-Jan-2011,-0.9723,0.272,0.667,0.062,227.5,228.0,223.5,224.44,571792
11-Jan-2011,-0.9578,0.225,0.674,0.101,225.25,229.29,223.61,228.58,1501995
12-Jan-2011,-0.3818,0.125,0.757,0.118,229.0,239.85,229.0,238.68,4938671
13-Jan-2011,-0.7184,0.121,0.783,0.096,240.0,250.48,238.5,248.46,3835913
14-Jan-2011,-0.872,0.154,0.771,0.074,249.25,250.25,242.1,243.35,1974180
17-Jan-2011,-0.5994,0.143,0.752,0.104,245.35,245.35,239.55,244.64,1800665
18-Jan-2011,-0.7506,0.167,0.776,0.057,245.99,246.3,238.0,239.77,1155122
19-Jan-2011,-0.765,0.142,0.784,0.074,240.03,244.4,238.05,239.32,968551
20-Jan-2011,-0.875,0.162,0.787,0.051,240.5,241.89,231.2,232.44,1325614
21-Jan-2011,-0.8689,0.124,0.835,0.041,234.0,236.5,229.1,230.32,1206090
24-Jan-2011,-0.8316,0.134,0.786,0.08,231.49,231.98,228.25,228.95,847308
25-Jan-2011,-0.6486,0.11,0.812,0.077,229.8,233.7,229.76,232.4,910505
26-Jan-2011,-0.9201,0.203,0.755,0.042,233.35,235.48,232.5,233.25,787194
27-Jan-2011,-0.9172,0.193,0.774,0.032,233.25,235.15,231.3,231.82,421245
28-Jan-2011,-0.936,0.209,0.735,0.056,232.8,235.4,231.4,233.43,789486
31-Jan-2011,-0.9153,0.164,0.739,0.097,236.0,237.6,225.0,226.78,2396614
01-Feb-2011,-0.9628,0.167,0.769,0.064,227.25,229.15,221.5,223.51,1263326
02-Feb-2011,-0.9744,0.238,0.715,0.046,224.6,225.99,222.0,224.06,538453
03-Feb-2011,-0.9568,0.191,0.768,0.041,225.6,229.75,224.05,229.1,540318
04-Feb-2011,-0.959,0.181,0.792,0.028,229.1,231.25,227.8,229.83,825484
07-Feb-2011,-0.9128,0.198,0.734,0.067,230.6,230.7,228.0,228.28,255302
08-Feb-2011,-0.9081,0.135,0.81,0.055,228.91,229.09,224.75,224.97,613089
09-Feb-2011,-0.9823,0.279,0.658,0.062,225.1,225.1,222.04,222.58,335173
10-Feb-2011,-0.9531,0.181,0.777,0.041,222.58,223.5,213.5,214.88,1140101
11-Feb-2011,-0.93,0.227,0.679,0.095,215.0,216.18,206.5,207.65,1069551
14-Feb-2011,-0.8074,0.16,0.712,0.128,207.61,211.0,207.1,209.87,558722
15-Feb-2011,-0.9658,0.148,0.814,0.038,210.1,215.9,210.1,213.99,688506
17-Feb-2011,-0.9802,0.197,0.803,0.0,214.11,216.4,213.55,214.83,433580
18-Feb-2011,-0.296,0.085,0.855,0.06,215.6,216.2,213.25,215.38,336472
21-Feb-2011,-0.9413,0.133,0.824,0.043,215.5,216.0,211.33,212.31,206028
22-Feb-2011,-0.4019,0.108,0.792,0.1,212.05,213.5,206.0,208.74,972662
23-Feb-2011,-0.9118,0.148,0.784,0.068,209.11,209.49,205.55,206.14,564422
24-Feb-2011,-0.9836,0.23,0.701,0.07,207.3,208.9,205.03,206.19,459962
25-Feb-2011,-0.9489,0.172,0.756,0.072,206.19,206.7,195.89,200.08,1584615
28-Feb-2011,-0.9601,0.129,0.846,0.025,199.0,205.25,195.55,202.95,803247
01-Mar-2011,-0.9287,0.178,0.699,0.123,204.8,213.09,203.5,212.8,1467909
02-Mar-2011,-0.8169,0.129,0.778,0.093,214.22,216.0,210.6,213.98,1470936
03-Mar-2011,-0.9732,0.189,0.74,0.071,212.61,214.49,210.9,213.32,1073603
04-Mar-2011,-0.959,0.213,0.691,0.095,213.49,219.4,212.5,216.48,1830120
07-Mar-2011,-0.9747,0.2,0.744,0.056,218.0,225.65,216.5,221.63,2386039
08-Mar-2011,-0.9911,0.279,0.656,0.065,222.0,223.4,219.11,222.57,753501
09-Mar-2011,-0.9774,0.225,0.734,0.041,224.5,228.45,224.0,227.42,1598383
10-Mar-2011,-0.9661,0.172,0.777,0.05,228.6,230.8,226.1,227.41,1585923
11-Mar-2011,-0.6597,0.17,0.716,0.115,227.01,227.01,223.61,225.2,367215
