Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
01-Oct-2015,198.0,200.5,196.8,197.87,426600,0.3121872842311859,0.16348797082901,0.167253777384758,0.17862354218959808,0.1784473955631256
02-Oct-2015,199.0,200.0,198.0,198.27,370300,0.2992593050003052,0.1759338527917862,0.16584299504756927,0.17432869970798492,0.18463516235351562
05-Oct-2015,198.03,198.51,197.11,198.01,47900,0.27794837951660156,0.1705411672592163,0.17165891826152802,0.19148454070091248,0.18836699426174164
06-Oct-2015,199.9,204.49,199.0,203.25,157300,0.32791537046432495,0.1631365567445755,0.15634696185588837,0.172103613615036,0.1804974377155304
07-Oct-2015,203.0,204.65,202.0,204.0,130400,0.34482815861701965,0.17588120698928833,0.16744980216026306,0.15628908574581146,0.1555517315864563
08-Oct-2015,202.0,205.0,193.8,201.67,649200,0.28898659348487854,0.16927701234817505,0.1713181883096695,0.17565929889678955,0.19475887715816498
09-Oct-2015,202.5,205.95,200.5,202.93,438500,0.2689436674118042,0.1669706404209137,0.17829400300979614,0.18685543537139893,0.19893626868724823
12-Oct-2015,202.6,209.01,201.5,204.2,1123900,0.2746698260307312,0.18497204780578613,0.17583800852298737,0.17688046395778656,0.18763969838619232
13-Oct-2015,204.15,207.69,204.0,206.04,1254800,0.3374320864677429,0.16007161140441895,0.1584620326757431,0.17540597915649414,0.16862830519676208
14-Oct-2015,205.0,208.0,202.15,205.46,112300,0.29062655568122864,0.16538818180561066,0.1612253040075302,0.1715155690908432,0.2112444043159485
15-Oct-2015,206.9,208.0,205.0,205.7,1342600,0.3135501742362976,0.18100544810295105,0.17690949141979218,0.16758151352405548,0.1609533727169037
16-Oct-2015,206.0,207.0,204.05,206.51,127000,0.3579350411891937,0.1670149564743042,0.15984706580638885,0.1597771793603897,0.1554257720708847
19-Oct-2015,208.9,208.9,205.0,205.21,261100,0.26395899057388306,0.15954959392547607,0.17850980162620544,0.19660194218158722,0.201379656791687
20-Oct-2015,204.5,205.55,204.27,204.97,54400,0.358327716588974,0.16984078288078308,0.156375914812088,0.15362772345542908,0.16182786226272583
21-Oct-2015,205.0,211.0,205.0,209.67,574600,0.3020361661911011,0.16869178414344788,0.16886328160762787,0.18056926131248474,0.17983947694301605
22-Oct-2015,210.0,210.01,207.0,208.0,782100,0.29679399728775024,0.15819787979125977,0.175811767578125,0.19239948689937592,0.1767968386411667
26-Oct-2015,207.5,209.5,206.53,207.0,135200,0.26519662141799927,0.17217406630516052,0.17416849732398987,0.19311439990997314,0.195346400141716
